 Hello date	time	Eacc	std_Eacc	Qo	std_Qo	Pinc_correct	std_Pinc_correct	Pref_correct	std_Pref_correct	Pt_correct	std_Pt_correct	Bstar	std_Bstar	Ql	std_Ql	Q0star	std_Q0star	Ploss	std_Ploss	B1	std_B1	B2	std_B2	Qe1	std_Qe1	Qe2	std_Qe2	FreqHz	tau	Rad	dewar_temp_K	Pi_meas	Pr_meas	Pt_meas	ci	cr	ct	PHOMA_meas	PHOMB_meas	cHOMA	cHOMB	PHOMA_correct	std_PHOMA_correct	PHOMB_correct	std_PHOMB_correct	Qext_HOMA	std_Qext_HOMA	Qext_HOMB	std_Qext_HOMB	PHOMC_meas	PHOMD_meas	cHOMC	cHOMD	PHOMC_correct	std_PHOMC_correct	PHOMD_correct	std_PHOMD_correct	Qext_HOMC	std_Qext_HOMAC	Qext_HOMD	std_Qext_HOMAD	sqRoot_RQL	DewarPressure100	commentcomment
1/26/2024	3:20:20 PM	4.110695508E+0	1.938830838E-1	1.190767521E+10	1.017465836E+9	1.050245287E+0	7.876839650E-2	2.441191598E-1	1.830893699E-2	4.001357856E-3	2.800950499E-4	2.861901943E+0	0.000000000E+0	3.062401901E+9	2.122910321E+8	7.929776432E+8	3.915020300E+7	8.006439839E-1	8.086877114E-2	2.881497863E+0	1.501482930E-2	4.997674293E-3	6.131672551E-4	4.132460192E+9	4.413308869E+8	2.382643309E+12	2.798804235E+11	1.496528071E+9	3.256847698E-1	3.511185140E-3	2.066410179E+0	1.674527270E-4	2.215923820E-5	1.210051200E-5	6.271891211E+3	1.101658629E+4	3.306767396E+2	1.379400360E-6	4.644605380E-6	2.568501907E+2	2.425363891E+2	3.542992456E-4	1.417196982E-5	1.126485818E-3	4.505943271E-5	2.690891567E+13	2.757125952E+12	8.463318731E+12	8.671637311E+11	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.869999886E+1	6.932174122E+0	
1/26/2024	3:21:16 PM	4.092324677E+0	1.930063825E-1	1.184608475E+10	1.011762348E+9	1.045956116E+0	7.844670869E-2	2.428732280E-1	1.821549210E-2	3.978037706E-3	2.784626394E-4	2.860061591E+0	0.000000000E+0	3.048044947E+9	2.112656608E+8	7.896363504E+8	3.894670558E+7	7.976293714E-1	8.053427850E-2	2.879616279E+0	1.497671294E-2	4.987326004E-3	6.117452499E-4	4.113771978E+9	4.390630920E+8	2.375237701E+12	2.790009761E+11	1.496528094E+9	3.241579106E-1	1.491580330E-3	2.066666595E+0	1.667688550E-4	2.204614220E-5	1.202998950E-5	6.271891211E+3	1.101658629E+4	3.306767396E+2	1.374187620E-6	4.628247420E-6	2.568501907E+2	2.425363891E+2	3.529603523E-4	1.411841409E-5	1.122518417E-3	4.490073669E-5	2.677010342E+13	2.742779814E+12	8.417487848E+12	8.624290831E+11	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.871999931E+1	6.931185874E+0	
1/26/2024	3:21:54 PM	4.091356195E+0	1.929771488E-1	1.187789090E+10	1.015186098E+9	1.043192144E+0	7.823941077E-2	2.426305712E-1	1.819729284E-2	3.971202287E-3	2.779841601E-4	2.863020380E+0	0.000000000E+0	3.053856678E+9	2.117169894E+8	7.905359997E+8	3.905310125E+7	7.951170356E-1	8.032824129E-2	2.882624815E+0	1.501416529E-2	4.994487740E-3	6.128685555E-4	4.120512263E+9	4.396714205E+8	2.378200031E+12	2.793642888E+11	1.496528107E+9	3.247759822E-1	3.989900183E-3	2.066666595E+0	1.663281630E-4	2.202411570E-5	1.200931850E-5	6.271891211E+3	1.101658629E+4	3.306767396E+2	1.372447870E-6	4.621248930E-6	2.568501907E+2	2.425363891E+2	3.525134972E-4	1.410053989E-5	1.120821029E-3	4.483284115E-5	2.679135260E+13	2.745155192E+12	8.426245723E+12	8.633887413E+11	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.871999931E+1	6.932774249E+0	
1/26/2024	3:23:07 PM	4.094492572E+0	1.931095333E-1	1.188745414E+10	1.015330410E+9	1.043442580E+0	7.825819352E-2	2.423115672E-1	1.817336754E-2	3.964101070E-3	2.774870749E-4	2.860224487E+0	0.000000000E+0	3.058580235E+9	2.119985578E+8	7.923322194E+8	3.908309455E+7	7.956959161E-1	8.034111862E-2	2.879761596E+0	1.496169937E-2	4.981929642E-3	6.110949993E-4	4.127929949E+9	4.404338541E+8	2.386114416E+12	2.802794287E+11	1.496528120E+9	3.252783271E-1	4.983411704E-3	2.066666595E+0	1.663680930E-4	2.199515900E-5	1.198784370E-5	6.271891211E+3	1.101658629E+4	3.306767396E+2	1.370740280E-6	4.613414980E-6	2.568501907E+2	2.425363891E+2	3.520749024E-4	1.408299610E-5	1.118921011E-3	4.475684043E-5	2.686587043E+13	2.752602747E+12	8.453499950E+12	8.661222143E+11	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.871999931E+1	6.931273385E+0	
1/26/2024	3:26:52 PM	1.882627987E+0	9.270425532E-2	1.132743923E+10	1.050505275E+9	2.314261149E-1	1.796351334E-2	5.373828683E-2	4.171241150E-3	8.408459742E-4	6.121541944E-5	2.860083377E+0	0.000000000E+0	2.915482676E+9	2.750304992E+8	7.552900783E+8	7.243066714E+7	1.765359215E-1	1.844155940E-2	2.878745579E+0	6.709361565E-2	4.763030477E-3	5.980578941E-4	3.934852496E+9	3.762648896E+8	2.378200031E+12	2.793642888E+11	1.496528212E+9	3.247759822E-1	2.494558299E-3	2.066410179E+0	3.689893640E-5	4.877943620E-6	2.542803510E-6	6.271891211E+3	1.101658629E+4	3.306767396E+2	2.902051510E-7	9.751995160E-7	2.568501907E+2	2.425363891E+2	7.453924839E-5	5.217750627E-6	2.365213693E-4	1.655650735E-5	2.682747633E+13	3.196741589E+12	8.454626859E+12	1.007446905E+12	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.869999886E+1	6.932774249E+0	
1/26/2024	3:28:10 PM	2.496205918E+0	1.229175934E-1	1.143221057E+10	1.057600493E+9	4.021009197E-1	3.121144078E-2	9.255978829E-2	7.184600003E-3	1.478251216E-3	1.076192214E-4	2.844539586E+0	0.000000000E+0	2.954159382E+9	2.779859518E+8	7.684039442E+8	7.350391683E+7	3.075150747E-1	3.202787894E-2	2.863280776E+0	6.663282297E-2	4.807085366E-3	6.023304511E-4	3.992696302E+9	3.808741576E+8	2.378200031E+12	2.793642888E+11	1.496528212E+9	3.247759822E-1	1.002031019E-3	2.066410179E+0	6.411159030E-5	8.401857510E-6	4.470381610E-6	6.271891211E+3	1.101658629E+4	3.306767396E+2	5.101157650E-7	1.718431350E-6	2.568501907E+2	2.425363891E+2	1.310233315E-4	9.171638894E-6	4.167821346E-4	2.917476968E-5	2.683168749E+13	3.197243387E+12	8.435047461E+12	1.005113838E+12	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.869999886E+1	6.932774249E+0	
1/26/2024	3:28:53 PM	3.008823594E+0	1.481595812E-1	1.147245050E+10	1.060096819E+9	5.814607071E-1	4.513350414E-2	1.332987035E-1	1.034679018E-2	2.147735917E-3	1.563584434E-4	2.837287461E+0	0.000000000E+0	2.970091937E+9	2.791602162E+8	7.740081937E+8	7.395338037E+7	4.452183625E-1	4.630459680E-2	2.856046697E+0	6.641706111E-2	4.824005697E-3	6.038606453E-4	4.016898782E+9	3.827502369E+8	2.378200031E+12	2.793642888E+11	1.496528203E+9	3.247759822E-1	4.489525708E-3	2.066410179E+0	9.270899120E-5	1.209981930E-5	6.494971250E-6	6.271891211E+3	1.101658629E+4	3.306767396E+2	7.413943890E-7	2.496441570E-6	2.568501907E+2	2.425363891E+2	1.904272902E-4	1.332991857E-5	6.054779241E-4	4.238348411E-5	2.682255058E+13	3.196154639E+12	8.435890757E+12	1.005214325E+12	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.869999886E+1	6.932774249E+0	
1/26/2024	3:29:36 PM	3.452842565E+0	1.700236991E-1	1.183403418E+10	1.099951647E+9	7.469433637E-1	5.797841250E-2	1.746614836E-1	1.355740531E-2	2.828400997E-3	2.059116092E-4	2.872703180E+0	0.000000000E+0	3.035045139E+9	2.869548359E+8	7.837019771E+8	7.532500216E+7	5.684032372E-1	5.954280303E-2	2.892305796E+0	6.750048947E-2	4.976046602E-3	6.259687115E-4	4.091557055E+9	3.921073745E+8	2.378200031E+12	2.793642888E+11	1.496528185E+9	3.247759822E-1	9.959867345E-4	2.066538387E+0	1.190938010E-4	1.585441070E-5	8.553371490E-6	6.271891211E+3	1.101658629E+4	3.306767396E+2	9.770223060E-7	3.295561470E-6	2.568501907E+2	2.425363891E+2	2.509483657E-4	1.756639648E-5	7.992935791E-4	5.595058937E-5	2.680433212E+13	3.193983741E+12	8.415560332E+12	1.002791767E+12	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.870999908E+1	6.932774249E+0	
1/26/2024	3:30:23 PM	4.120890157E+0	2.029193256E-1	1.186495782E+10	1.101311876E+9	1.059661942E+0	8.225190168E-2	2.466189555E-1	1.914280713E-2	4.028742453E-3	2.932977862E-4	2.864172227E+0	0.000000000E+0	3.049635278E+9	2.879364105E+8	7.892079077E+8	7.574901100E+7	8.075170236E-1	8.445066845E-2	2.883772196E+0	6.724637672E-2	4.989049563E-3	6.268798476E-4	4.114388036E+9	3.937670284E+8	2.378200031E+12	2.793642888E+11	1.496528162E+9	3.247759822E-1	1.997233865E-3	2.066538387E+0	1.689541330E-4	2.238615020E-5	1.218332580E-5	6.271891211E+3	1.101658629E+4	3.306767396E+2	1.395475460E-6	4.695345380E-6	2.568501907E+2	2.425363891E+2	3.584281381E-4	2.508998520E-5	1.138792114E-3	7.971550332E-5	2.673103590E+13	3.185249819E+12	8.413436752E+12	1.002538723E+12	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.870999908E+1	6.932774249E+0	
1/26/2024	3:31:19 PM	4.547135019E+0	2.239082473E-1	1.177565357E+10	1.089826706E+9	1.296023393E+0	1.005984840E-1	2.986272117E-1	2.317973340E-2	4.905272380E-3	3.571101281E-4	2.846293088E+0	0.000000000E+0	3.040895057E+9	2.862671565E+8	7.906040928E+8	7.565888769E+7	9.906642427E-1	1.032351343E-1	2.865634727E+0	6.670480747E-2	4.951498366E-3	6.206337643E-4	4.109265377E+9	3.921536938E+8	2.378200031E+12	2.793642888E+11	1.496528155E+9	3.247759822E-1	9.952337670E-4	2.066538387E+0	2.066399670E-4	2.710705510E-5	1.483404120E-5	6.271891211E+3	1.101658629E+4	3.306767396E+2	1.700462420E-6	5.730694310E-6	2.568501907E+2	2.425363891E+2	4.367640969E-4	3.057350571E-5	1.389901905E-3	9.729320088E-5	2.670942737E+13	3.182674963E+12	8.393195865E+12	1.000126834E+12	0.000000000E+0	0.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E-12	0.000000000E+0	1.000000000E-12	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	4.210000000E+1	2.870999908E+1	6.932774249E+0	
